New Level Generated 0,easy
Player @ (0, 7) Moved To [1, 7]
Player @ [1, 7] Moved To [1, 6]
Player @ [1, 6] Moved To [1, 5]
Player @ [1, 5] Moved To [1, 4]
Player @ [1, 4] Moved To [1, 3]
Player @ [1, 3] Moved To [2, 3]
Player @ [2, 3] Moved To [3, 3]
Player @ [3, 3] Moved To [4, 3]
Player @ [4, 3] Moved To [5, 3]
Player @ [5, 3] Moved To [6, 3]
Player @ [6, 3] Moved To [7, 3]
Player @ [7, 3] Moved To [8, 3]
Player @ [8, 3] Moved To [8, 4]
New Level Generated 1,easy
Player @ [4, 8] Moved To [5, 8]
Player @ [5, 8] Moved To [6, 8]
Spider @ (11, 3) Moved To [10, 3]
Player @ [6, 8] Moved To [6, 7]
Spider @ [10, 3] Moved To [9, 3]
New Level Generated 2,easy
Player @ [1, 4] Moved To [1, 5]
Spider @ (3, 13) Moved To [3, 12]
Spider @ (7, 2) Moved To [6, 2]
Player @ [1, 5] Moved To [1, 6]
Spider @ [3, 12] Moved To [3, 11]
Spider @ [6, 2] Moved To [5, 2]
Player @ [1, 6] Moved To [1, 7]
Spider @ [3, 11] Moved To [3, 10]
Spider @ [5, 2] Moved To [4, 2]
Player @ [1, 7] Moved To [1, 8]
Player @ [1, 8] Interacted With Wooden Door @ (1, 8)
Spider @ [3, 10] Moved To [3, 9]
Spider @ [4, 2] Moved To [3, 2]
Player @ [1, 8] Moved To [1, 9]
Spider @ [3, 2] Moved To [2, 2]
Spider @ [2, 2] Died In Fire
Spider @ [3, 9] Moved To [2, 9]
Player @ [1, 9] Moved To [1, 8]
Player @ [1, 8] Interacted With Wooden Door @ (1, 8)
Player @ [1, 8] Moved To [1, 7]
Spider @ [2, 9] Moved To [1, 9]
Player @ [1, 7] Moved To [1, 6]
Spider @ [1, 9] Moved To [1, 8]
Player @ [1, 6] Moved To [2, 6]
Player @ [2, 6] Moved To [3, 6]
Spider @ [1, 8] Moved To [1, 7]
Player @ [3, 6] Moved To [4, 6]
Spider @ [1, 7] Moved To [2, 7]
Player @ [4, 6] Moved To [4, 7]
Spider @ [2, 7] Moved To [3, 7]
Player @ [4, 7] Moved To [4, 8]
Player @ [4, 8] Interacted With Wooden Door @ (4, 8)
Spider @ [3, 7] Moved To [4, 7]
Player @ [4, 8] Moved To [4, 9]
Spider @ [4, 7] Moved To [4, 8]
New Level Generated 3,easy
Player @ [15, 3] Moved To [15, 4]
Pirate @ (15, 2) Moved To [15, 3]
Player @ [15, 4] Moved To [14, 4]
Drowned Sailor @ (8, 8) Moved To [9, 8]
Pirate @ [15, 3] Moved To [14, 3]
Player @ [14, 4] Moved To [14, 5]
Drowned Sailor @ [9, 8] Moved To [10, 8]
Pirate @ [14, 3] Moved To [14, 4]
Player @ [14, 5] Moved To [13, 5]
Drowned Sailor @ [10, 8] Moved To [11, 8]
Pirate @ [14, 4] Moved To [13, 4]
Player @ [13, 5] Moved To [12, 5]
Drowned Sailor @ [11, 8] Moved To [12, 8]
Player @ [12, 5] Moved To [11, 5]
Drowned Sailor @ (4, 8) Moved To [5, 8]
Drowned Sailor @ [12, 8] Moved To [12, 7]
Pirate @ [13, 4] Moved To [13, 5]
Player @ [11, 5] Interacted With Wooden Door @ (11, 6)
Player @ [11, 5] Moved To [11, 6]
Player @ [11, 6] Interacted With Wooden Door @ (11, 6)
Drowned Sailor @ [5, 8] Moved To [6, 8]
Drowned Sailor @ [12, 7] Moved To [12, 6]
Pirate @ [13, 5] Moved To [12, 5]
Player @ [11, 6] Moved To [11, 7]
Drowned Sailor @ [6, 8] Moved To [7, 8]
Pirate @ [12, 5] Moved To [11, 5]
Player @ [11, 7] Moved To [11, 8]
Drowned Sailor @ [7, 8] Moved To [8, 8]
Player @ [11, 8] Moved To [11, 9]
Drowned Sailor @ [8, 8] Moved To [9, 8]
Player @ [11, 9] Moved To [11, 10]
Drowned Sailor @ [9, 8] Moved To [10, 8]
Player @ [11, 10] Moved To [10, 10]
Drowned Sailor @ [10, 8] Moved To [10, 9]
Pirate @ [11, 5] Moved To [10, 5]
Drowned Sailor @ [12, 6] Moved To [12, 7]
Player @ [10, 10] Moved To [9, 10]
Pirate @ [10, 5] Moved To [9, 5]
Drowned Sailor @ [10, 9] Moved To [9, 9]
Drowned Sailor @ [12, 7] Moved To [11, 7]
Player @ [9, 10] Moved To [8, 10]
Drowned Sailor @ [9, 9] Moved To [8, 9]
Drowned Sailor @ [11, 7] Moved To [10, 7]
Player @ [8, 10] Moved To [7, 10]
Drowned Sailor @ [8, 9] Moved To [7, 9]
Pirate @ [9, 5] Moved To [10, 5]
Drowned Sailor @ [10, 7] Moved To [9, 7]
Player @ [7, 10] Moved To [6, 10]
Drowned Sailor @ [7, 9] Moved To [6, 9]
Drowned Sailor @ [9, 7] Moved To [8, 7]
Pirate @ [10, 5] Moved To [11, 5]
Player @ [6, 10] Moved To [5, 10]
Drowned Sailor @ [6, 9] Moved To [5, 9]
Drowned Sailor @ [8, 7] Moved To [7, 7]
Player @ [5, 10] Moved To [4, 10]
Drowned Sailor @ [5, 9] Moved To [4, 9]
Drowned Sailor @ [7, 7] Moved To [6, 7]
Player @ [4, 10] Moved To [4, 11]
Drowned Sailor @ [4, 9] Moved To [4, 10]
Drowned Sailor @ [6, 7] Moved To [5, 7]
Player @ [4, 11] Moved To [4, 12]
Drowned Sailor @ [4, 10] Moved To [4, 11]
Drowned Sailor @ [5, 7] Moved To [4, 7]
New Level Generated 4,easy
Player @ [11, 2] Moved To [11, 3]
Tunneler @ (8, 9) Moved To [9, 9]
Goblin Miner @ (12, 9) Moved To [12, 8]
Goblin Miner @ (14, 2) Moved To [13, 2]
Player @ [11, 3] Moved To [11, 4]
Tunneler @ [9, 9] Moved To [10, 9]
Goblin Miner @ [12, 8] Moved To [12, 7]
Goblin Miner @ [13, 2] Moved To [12, 2]
Player @ [11, 4] Moved To [11, 5]
Goblin Miner @ [12, 2] Moved To [11, 2]
Goblin Miner @ [12, 7] Moved To [12, 6]
Player @ [11, 5] Moved To [11, 6]
Goblin Miner @ [11, 2] Moved To [11, 3]
Goblin Miner @ [12, 6] Attacked Player @ [11, 6] For 10.0
Game Over. Final Score: 20Player @ [11, 6] Moved To [10, 6]
Tunneler @ [10, 9] Moved To [10, 8]
Goblin Miner @ [11, 3] Moved To [10, 3]
Goblin Miner @ [12, 6] Moved To [11, 6]
Game Over. Final Score: 20Player @ [10, 6] Moved To [9, 6]
Tunneler @ (2, 9) Moved To [3, 9]
Goblin Miner @ [10, 3] Moved To [9, 3]
Tunneler @ [10, 8] Moved To [10, 7]
Goblin Miner @ [11, 6] Moved To [10, 6]
Game Over. Final Score: 20Player @ [9, 6] Moved To [9, 7]
Tunneler @ [3, 9] Moved To [4, 9]
Goblin Miner @ [9, 3] Moved To [9, 4]
Goblin Miner @ [10, 6] Moved To [9, 6]
Tunneler @ [10, 7] Attacked Player @ [9, 7] For 6.0
Game Over. Final Score: 20Player @ [9, 7] Moved To [8, 7]
Tunneler @ [4, 9] Moved To [5, 9]
Tunneler @ [5, 9] Died In Spikes
Goblin Miner @ [9, 4] Moved To [8, 4]
Goblin Miner @ [9, 6] Moved To [8, 6]
Tunneler @ [10, 7] Moved To [9, 7]
Game Over. Final Score: 30Player @ [8, 7] Moved To [7, 7]
Goblin Miner @ [8, 4] Moved To [7, 4]
Goblin Miner @ [8, 6] Moved To [7, 6]
Tunneler @ [9, 7] Moved To [8, 7]
Game Over. Final Score: 30Player @ [7, 7] Moved To [6, 7]
Goblin Miner @ [7, 4] Moved To [6, 4]
Goblin Miner @ [7, 6] Moved To [6, 6]
Tunneler @ [8, 7] Moved To [7, 7]
Game Over. Final Score: 30
